Filter_type,Biological_rep,qPCR_rep,Detection,Cq,Copies,Copies_plus,Log_copiesplus,Log_copiesplus_1,Ave_Cq,Ave_copies,Log_ave_copies,Det_rate,Turbidity,Prefilter,Filtr_vol,Tank_water,Type
PC10,B,1,0,NA,0,0.10,-1.00,0.00,36.88,25.73,1.41,0.8333,50,Yes,750,500,50 NTU - PF
PC10,B,2,1,37.5,16.93,17.03,1.23,2.23,36.88,25.73,1.41,0.8333,50,Yes,750,500,50 NTU - PF
PC10,B,3,1,35.91,49.36,49.46,1.69,2.69,36.88,25.73,1.41,0.8333,50,Yes,750,500,50 NTU - PF
PC10,B,4,1,36.49,33.41,33.51,1.53,2.53,36.88,25.73,1.41,0.8333,50,Yes,750,500,50 NTU - PF
PC10,B,5,1,36.74,28.24,28.34,1.45,2.45,36.88,25.73,1.41,0.8333,50,Yes,750,500,50 NTU - PF
PC10,B,6,1,37.75,14.31,14.41,1.16,2.16,36.88,25.73,1.41,0.8333,50,Yes,750,500,50 NTU - PF
PC10,C,1,1,37.65,15.31,15.41,1.19,2.19,36.01,46.15,1.66,1,50,Yes,750,500,50 NTU - PF
PC10,C,2,1,35.52,64.18,64.28,1.81,2.81,36.01,46.15,1.66,1,50,Yes,750,500,50 NTU - PF
PC10,C,3,1,35.3,74.42,74.52,1.87,2.87,36.01,46.15,1.66,1,50,Yes,750,500,50 NTU - PF
PC10,C,4,1,35.64,59.2,59.30,1.77,2.77,36.01,46.15,1.66,1,50,Yes,750,500,50 NTU - PF
PC10,C,5,1,36.02,45.84,45.94,1.66,2.66,36.01,46.15,1.66,1,50,Yes,750,500,50 NTU - PF
PC10,C,6,1,35.93,48.7,48.80,1.69,2.69,36.01,46.15,1.66,1,50,Yes,750,500,50 NTU - PF
PC5,A,1,1,35.43,68.19,68.29,1.83,2.83,36.65,29.93,1.48,1,5,No,1000,500,5 NTU
PC5,A,2,1,37.39,18.23,18.33,1.26,2.26,36.65,29.93,1.48,1,5,No,1000,500,5 NTU
PC5,A,3,1,36.49,33.41,33.51,1.53,2.53,36.65,29.93,1.48,1,5,No,1000,500,5 NTU
PC5,A,4,1,38.35,9.56,9.66,0.98,1.98,36.65,29.93,1.48,1,5,No,1000,500,5 NTU
PC5,A,5,1,36.03,45.53,45.63,1.66,2.66,36.65,29.93,1.48,1,5,No,1000,500,5 NTU
PC5,A,6,1,36.23,39.8,39.90,1.60,2.60,36.65,29.93,1.48,1,5,No,1000,500,5 NTU
PC5,B,1,1,35.35,71.96,72.06,1.86,2.86,35.76,54.48,1.74,1,5,No,1000,500,5 NTU
